"number";"position";"apps";"min";"goals";"assists";"sp90m";"kp90";"xG";"xA";"xG90";"xA90"
1;"FW";22;1697;9;3;2.92;1.06;8.93;4.44;0.47;0.24
2;"Sub";5;95;0;0;4.74;0;0.34;0;0.32;0
