"number";"situation";"shots";"goals";"kp";"assists";"xG";"xA";"xG90";"xA90";"xGperSh";"xAperKP"
1;"Open play";53;5;18;3;7.54;3.92;0.38;0.2;0.14;0.22
2;"From corner";3;1;1;0;0.12;0.02;0.01;0;0.04;0.02
3;"Penalty";2;2;0;0;1.52;0;0.08;0;0.76;0
4;"Set piece";2;1;1;0;0.09;0.5;0;0.02;0.04;0.5
