"number";"shotTypes";"shots";"goals";"kp";"assists";"xG";"xA";"xGperSh";"xAperKP"
1;"Right foot";38;7;11;0;6.88;1.91;0.18;0.17
2;"Left foot";14;1;8;3;1.93;2.45;0.14;0.31
3;"Head";8;1;1;0;0.45;0.08;0.06;0.08
