"number";"shotZones";"shots";"goals";"kp";"assists";"xG";"xA";"xGperSh";"xAperKP"
1;"Out of box";14;3;3;0;0.79;0.07;0.06;0.02
2;"Penalty area";39;5;17;3;5.17;4.37;0.13;0.26
3;"Six-yard box";7;1;0;0;3.31;0;0.47;0
